state,salary,ocode,occupation,projemp,projempnorm,salarynorm
ACT,23611,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.2927959786809467
ACT,29816,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.3711637070903534
ACT,39361.5,1113,Legislators,3.2160178398309327,0.4968478593169751,0.49172118517770086
ACT,8309,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.09953522443102882
ACT,7389.5,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.08792215009219732
ACT,8020,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.09588522064209755
ACT,20302,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.2510040667862285
ACT,27404,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.34070069968930766
ACT,20347,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.2515724064765465
ACT,26892,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.3342342569905782
ACT,30683,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.3821137184571472
ACT,25412,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.3155421960645634
ACT,24500,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.30402384500745155
ACT,37657,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.470193740685544
ACT,21437,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.2653388567531385
ACT,13264,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.16211573922049055
ACT,21704,1335,Production Managers,5.590187189691355,0.5299187543456106,0.2687110055823587
ACT,26929,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.33470155851372857
ACT,14493.5,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.17764404253706836
ACT,13558,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.1658288918639016
ACT,39590,1343,School Principals,7.369830902054293,0.5547082287794314,0.4946070878274268
ACT,11240,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.13655308292707571
ACT,34976,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.4363333249134861
ACT,20630,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.25514663164010204
ACT,24804,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.30786329535982215
ACT,18139,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.22368587233827578
ACT,7754,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.09252570158377327
ACT,14224.5,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.17424663416605624
ACT,14740,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.18075728106292152
ACT,14964,1414,Licensed Club Managers,0,0.45205047011745547,0.18358634974361565
ACT,15864,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.194953143549976
ACT,9912.5,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.11978706206269418
ACT,12192,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.14857662482002576
ACT,11273.5,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.13697618025209024
ACT,11981.5,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.14591805804642705
ACT,14460,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.17722094521205387
ACT,21534,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.2665639445300462
ACT,2655,2111,"Actors, Dancers and Other Entertainers",8.159079077977132,0.5657020290233024,0.028126499785293895
ACT,6435,2112,Music Professionals,-0.8677643110179024,0.43996298257535726,0.07586703377200738
ACT,11499,2113,Photographers,5.190139253456031,0.5243463029505834,0.1398241935891283
ACT,5348,2114,Visual Arts and Crafts Professionals,4.092712635997531,0.5090597436873471,0.06213847280810326
ACT,18878,2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664,0.2821596860967669,0.23301927303038722
ACT,13574,2122,"Authors, and Book and Script Editors",14.767564649607955,0.657754658988601,0.16603096819823687
ACT,14913,2123,"Film, Television, Radio and Stage Directors",11.847967822954898,0.6170862541901577,0.1829422314279219
ACT,19934,2124,Journalists and Other Writers,1.5769465894702623,0.474016483253461,0.2463563110965167
ACT,21525,2211,Accountants,4.018089884403248,0.5080202891156386,0.2664502765919826
ACT,21398,2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048,0.5923716385267446,0.26484629568819623
ACT,20296.5,2221,Financial Brokers,19.69643209589858,0.7264111168507661,0.2509346030463007
ACT,60395.5,2222,Financial Dealers,1.640098800270539,0.47489615939548724,0.7573757862032383
ACT,25665,2223,Financial Investment Advisers and Managers,-1.0344497612096504,0.43764114440218055,0.31873752810124023
ACT,16747.5,2231,Human Resource Professionals,10.826243446735237,0.6028541862055613,0.20611154613655308
ACT,27409,2232,ICT Trainers,-9.43184301160828,0.3206699979612445,0.34076384854378744
ACT,19206,2233,Training and Development Professionals,-5.859103415553496,0.3704363283002002,0.2371618378842608
