state,salary,ocode,occupation,projemp,projempnorm,salarynorm
NT,19557,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.1351505078485688
NT,19552,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.1351135734072022
NT,8433,1113,Legislators,3.2160178398309327,0.4968478593169751,0.05297876269621422
NT,13104,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.08748291782086796
NT,4650,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.025034164358264083
NT,12836.5,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.08550692520775623
NT,5025.5,1214,Mixed Crop and Livestock Farmers,-3.357210034219155,0.4052863500106608,0.027807940904893812
NT,18711,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.1289012003693444
NT,29427,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.20805909510618653
NT,18073,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.12418836565096952
NT,24470,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.17144228993536473
NT,31610,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.22418467220683286
NT,25574,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.17959741458910433
NT,28637.5,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.20222714681440443
NT,45404,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.3260794090489381
NT,19590,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.13539427516158817
NT,18024,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.1238264081255771
NT,27217.5,1335,Production Managers,5.590187189691355,0.5299187543456106,0.1917377654662973
NT,16832,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.11502123730378579
NT,15354,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.1041034164358264
NT,15952,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.1085207756232687
NT,41156,1343,School Principals,7.369830902054293,0.5547082287794314,0.2946999076638966
NT,16886.5,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.11542382271468143
NT,26698,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.18790027700831025
NT,21524,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.14968051708217914
NT,24156,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.16912280701754387
NT,15262,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.10342382271468144
NT,10109,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.06535918744228994
NT,10103.5,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.0653185595567867
NT,12876.5,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.08580240073868883
NT,14783.5,1414,Licensed Club Managers,0,0.45205047011745547,0.09988919667590028
NT,13016,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.08683287165281625
NT,10620,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.06913388734995383
NT,14323,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.09648753462603878
NT,11686,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.07700831024930747
NT,9795,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.06303970452446907
NT,18824.5,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.12973961218836566
NT,23439,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.1638264081255771
NT,2693,2111,"Actors, Dancers and Other Entertainers",8.159079077977132,0.5657020290233024,0.010578024007386888
NT,3308,2112,Music Professionals,-0.8677643110179024,0.43996298257535726,0.01512096029547553
NT,14394,2113,Photographers,5.190139253456031,0.5243463029505834,0.09701200369344413
NT,1517,2114,Visual Arts and Crafts Professionals,4.092712635997531,0.5090597436873471,0.0018910433979686058
NT,7576,2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664,0.2821596860967669,0.04664819944598338
NT,11701,2123,"Film, Television, Radio and Stage Directors",11.847967822954898,0.6170862541901577,0.0771191135734072
NT,22885,2124,Journalists and Other Writers,1.5769465894702623,0.474016483253461,0.15973407202216067
NT,18519,2211,Accountants,4.018089884403248,0.5080202891156386,0.12748291782086796
NT,15690.5,2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048,0.5923716385267446,0.10658910433979686
NT,20068,2221,Financial Brokers,19.69643209589858,0.7264111168507661,0.13892520775623268
NT,24000,2222,Financial Dealers,1.640098800270539,0.47489615939548724,0.16797045244690675
NT,26084,2223,Financial Investment Advisers and Managers,-1.0344497612096504,0.43764114440218055,0.18336472760849493
NT,13722.5,2231,Human Resource Professionals,10.826243446735237,0.6028541862055613,0.0920517082179132
NT,8698,2232,ICT Trainers,-9.43184301160828,0.3206699979612445,0.05493628808864266
NT,16308,2233,Training and Development Professionals,-5.859103415553496,0.3704363283002002,0.1111505078485688
NT,22541,2241,"Actuaries, Mathematicians and Statisticians",7.821899538476034,0.5610053003938555,0.15719298245614036
NT,13305.5,2242,"Archivists, Curators and Records Managers",-4.04368752249386,0.3957240898645643,0.0889713758079409
NT,32883,2243,Economists,5.7924027091688846,0.532735507168317,0.2335881809787627
NT,25334,2244,Intelligence and Policy Analysts,36.315944458532236,0.9579119357810078,0.17782456140350877
NT,20617.5,2245,Land Economists and Valuers,5.792402709168869,0.5327355071683169,0.1429843028624192
NT,17684,2246,Librarians,6.386459142421852,0.541010392001764,0.12131486611265005
NT,24520,2247,Management and Organisation Analysts,10.343099523605053,0.5961242526536432,0.17181163434903046
NT,12006,2249,Other Information and Organisation Professionals,25.489574013061418,0.8071064506691996,0.07937211449676823
NT,15444,2251,Advertising and Marketing Professionals,12.46706580479654,0.6257099542522989,0.10476823638042475
NT,12977,2252,ICT Sales Professionals,-1.1278006902532938,0.43634081644730677,0.08654478301015697
NT,19120,2253,Public Relations Professionals,0.6736631188675851,0.46143423302806796,0.1319224376731302
NT,15358,2254,Technical Sales Representatives,-1.7028640718887944,0.4283304945509358,0.10413296398891966
NT,15823.5,2311,Air Transport Professionals,5.623030587346921,0.5303762451123559,0.10757156048014774
NT,30986,2312,Marine Transport Professionals,3.409027878727939,0.49953638477376744,0.2195752539242844
NT,17437.5,2321,Architects and Landscape Architects,7.425365540295815,0.5554817962555032,0.11949399815327794
NT,27784,2322,Surveyors and Spatial Scientists,-3.2229377157557817,0.4071566907887585,0.1959224376731302
NT,11664,2323,"Fashion, Industrial and Jewellery Designers",-0.009146844112238338,0.4519230595258324,0.07684579870729455
NT,12470,2324,"Graphic and Web Designers, and Illustrators",12.569159235804198,0.6271320605313502,0.08279963065558633
NT,16061,2325,Interior Designers,14.945513588613466,0.6602333914693544,0.10932594644506002
NT,27638.5,2326,Urban and Regional Planners,7.644539746242216,0.5585347744090052,0.1948476454293629
NT,45255.5,2331,Chemical and Materials Engineers,11.011668615931862,0.6054370585295297,0.3249824561403509
NT,32144,2332,Civil Engineering Professionals,13.47946775461139,0.6398121658788963,0.22812927054478302
NT,40049,2333,Electrical Engineers,-2.5695305999223055,0.4162582985320995,0.28652262234533704
NT,21988,2334,Electronics Engineers,-5.047023877313551,0.3817481570733309,0.15310803324099723
NT,37444,2335,"Industrial, Mechanical and Production Engineers",-7.223815007859978,0.35142663389226636,0.2672797783933518
NT,48792,2336,Mining Engineers,-5.720804466877272,0.3723627578594525,0.3511061865189289
NT,38644,2339,Other Engineering Professionals,17.142830059021954,0.6908408215340391,0.27614404432132966
NT,13837.5,2341,Agricultural and Forestry Scientists,12.361186806196391,0.6242351170640215,0.09290120036934442
NT,25878,2342,"Chemists, and Food and Wine Scientists",6.2578583319688335,0.5392190522629456,0.18184302862419205
NT,9852,2343,Environmental Scientists,11.253541360349,0.6088062150479464,0.06346075715604801
NT,28802,2344,"Geologists, Geophysicists and Hydrogeologists",21.64410289357882,0.7535411177094701,0.20344228993536473
NT,19474,2345,Life Scientists,6.25785833196883,0.5392190522629456,0.13453739612188365
NT,20495,2346,Medical Laboratory Scientists,6.257858331968831,0.5392190522629456,0.14207940904893812
NT,20141.5,2347,Veterinarians,15.027457762671576,0.6613748294963608,0.13946814404432134
NT,27270,2349,Other Natural and Physical Science Professionals,16.012266178107488,0.6750926781123885,0.19212557710064634
NT,8456.5,2400,Education Professionals nfd,16.70395937351582,0.6847275902380611,0.05315235457063712
NT,18376,2410,School Teachers nfd,16.343451694875263,0.6797059132468894,0.12642659279778393
NT,12380,2411,Early Childhood (Pre-primary School) Teachers,22.00993063529087,0.7586369003019937,0.082134810710988
NT,23337.5,2412,Primary School Teachers,9.64301110364537,0.5863723995903345,0.16307663896583563
NT,23104,2413,Middle School Teachers,1.7828690768657456,0.47688487213443614,0.16135180055401663
NT,24331,2414,Secondary School Teachers,7.128461202511699,0.551346079404057,0.17041551246537395
NT,15558,2415,Special Education Teachers,4.9242200398991525,0.5206421921220303,0.10561034164358264
NT,25035,2421,University Lecturers and Tutors,8.272890350218129,0.5672873584934088,0.17561588180978763
NT,15104,2422,Vocational Education Teachers,-15.326775511311174,0.23855677637912467,0.1022566943674977
NT,17776,2491,Education Advisers and Reviewers,17.28846723415271,0.6928694686190919,0.12199445983379502
NT,5142,2492,Private Tutors and Teachers,5.473439846495701,0.5282925269950122,0.028668513388734995
NT,13478.5,2493,Teachers of English to Speakers of Other Languages,-7.3766350466230115,0.3492979334015025,0.09024930747922438
NT,16656.5,2511,Nutrition Professionals,17.586691326639695,0.6970235689397903,0.11372483841181902
NT,29423,2512,Medical Imaging Professionals,11.303883027471974,0.6095074472448359,0.20802954755309325
NT,24130,2513,Occupational and Environmental Health Professionals,9.18515090880417,0.5799946546993585,0.16893074792243767
NT,22818,2514,Optometrists and Orthoptists,9.713758918500451,0.5873578783889363,0.15923915050784856
NT,20324,2515,Pharmacists,7.522604559506734,0.5568362832036229,0.1408162511542013
NT,11301,2519,Other Health Diagnostic and Promotion Professionals,26.327124898629574,0.8187730815350197,0.07416435826408126
NT,11140,2521,Chiropractors and Osteopaths,18.57561943076688,0.7107988025912484,0.07297506925207756
NT,6161,2522,Complementary Health Therapists,10.23329609993888,0.5945947503466311,0.03619575253924284
NT,36904,2523,Dental Practitioners,16.72949346816162,0.6850832663669489,0.2632908587257618
NT,21052,2524,Occupational Therapists,14.612307078357714,0.6555920049885738,0.1461939058171745
NT,20648,2525,Physiotherapists,24.923337132519638,0.799219077159454,0.14320960295475532
NT,19451,2526,Podiatrists,17.217593624899276,0.6918822375725542,0.13436749769159742
NT,19472,2527,Audiologists and Speech Pathologists \ Therapists,38.308413610591394,0.9856659534880499,0.13452262234533702
NT,36620,2531,General Practitioners and Resident Medical Officers,12.245152604494763,0.6226188233887486,0.26119298245614037
NT,136636,2532,Anaesthetists,16.586883471390305,0.6830967862392633,1.0
NT,105169,2533,Specialist Physicians,7.580092226080791,0.5576370553081166,0.7675567867036011
NT,86628,2534,Psychiatrists,-0.10066996823392119,0.4506481919049953,0.6305964912280702
NT,71538,2535,Surgeons,1.9521497258621179,0.4792428600234077,0.5191283471837489
NT,45766,2539,Other Medical Practitioners,13.108443417799828,0.6346439975270953,0.3287534626038781
NT,23080,2541,Midwives,16.62783738488575,0.683667252105272,0.16117451523545706
NT,21094,2542,Nurse Educators and Researchers,16.88795259872098,0.6872905163566624,0.14650415512465373
NT,28050,2543,Nurse Managers,19.0472003369873,0.7173676695712055,0.19788734995383195
NT,22632,2544,Registered Nurses,18.370067352544616,0.7079355733097289,0.157865189289012
NT,25508,2611,ICT Business and Systems Analysts,9.526639117167598,0.584751400755813,0.17910987996306557
NT,14353,2612,Multimedia Specialists and Web Developers,20.499161962031728,0.7375927097480043,0.09670914127423823
NT,26065,2613,Software and Applications Programmers,20.98286225996597,0.7443303933000405,0.18322437673130193
NT,20505,2621,"Database and Systems Administrators, and ICT Security Specialists",7.641459525808249,0.5584918686042266,0.1421532779316713
NT,19388,2631,Computer Network Professionals,11.593931800942846,0.6135476697930731,0.13390212373037857
NT,16958,2632,ICT Support and Test Engineers,18.364094782300807,0.7078523786363601,0.11595198522622345
NT,18661.5,2633,Telecommunications Engineering Professionals,19.52673705365304,0.7240473566879486,0.12853554939981532
NT,2297,2711,Barristers,15.026702116358464,0.6613643037518933,0.007652816251154201
NT,46610,2712,Judicial and Other Legal Professionals,8.724240168459778,0.5735744173593406,0.33498799630655585
NT,25556,2713,Solicitors,-1.5813307945746056,0.430023387375443,0.17946445060018468
NT,10964,2721,Counsellors,17.8371776056355,0.7005127073364557,0.07167497691597415
NT,4460,2722,Ministers of Religion,3.098169017277995,0.49520628895463953,0.023630655586334256
NT,19352,2723,Psychologists,30.21415999616976,0.8729173782301692,0.13363619575253924
NT,4228,2724,Social Professionals,3.098169017277998,0.49520628895463953,0.021916897506925208
NT,16956,2725,Social Workers,7.971676062349574,0.5630916063682238,0.11593721144967682
NT,9498,2726,"Welfare, Recreation and Community Arts Workers",30.38981592014651,0.8753641702516967,0.06084579870729455
NT,13477,3111,Agricultural Technicians,0.1356279764343364,0.45393969447791227,0.0902382271468144
NT,9970,3112,Medical Technicians,0.621401338406484,0.4607062546908275,0.06433240997229916
NT,20910,3113,Primary Products Inspectors,1.5106980904361305,0.4730936774908935,0.14514496768236382
NT,15452,3114,Science Technicians,10.879218068000494,0.6035920940296802,0.10482733148661126
NT,19987,3121,"Architectural, Building and Surveying Technicians",1.6236072339556569,0.4746664407958056,0.13832686980609418
NT,19121,3122,Civil Engineering Draftspersons and Technicians,2.981923411976148,0.4935870505415484,0.1319298245614035
NT,30980,3123,Electrical Engineering Draftspersons and Technicians,9.035946387683715,0.5779163164139862,0.2195309325946445
NT,25403,3124,Electronic Engineering Draftspersons and Technicians,-8.095320233565907,0.3392870374317516,0.1783342566943675
NT,24376.5,3125,Mechanical Engineering Draftspersons and Technicians,-7.213262329357338,0.35157362699663447,0.1707516158818098
NT,24720,3126,Safety Inspectors,6.174350146192707,0.538055828398567,0.17328901200369345
NT,27038,3129,Other Building and Engineering Technicians,2.8803144166405112,0.4921716921894125,0.1904118190212373
NT,11677,3131,ICT Support Technicians,18.485825612808654,0.7095480232700128,0.07694182825484765
NT,22087,3132,Telecommunications Technical Specialists,4.523979669308313,0.5150670602205044,0.1538393351800554
NT,17518,3211,Automotive Electricians,-0.8715350460564323,0.43991045827558595,0.12008864265927978
NT,18054.5,3212,Motor Mechanics,-1.8940263552695042,0.4256677073291695,0.1240517082179132
