state,salary,ocode,occupation,projemp,projempnorm,salarynorm
SA,16064,1111,Chief Executives and Managing Directors,9.222124368326597,0.5805096749942602,0.17521261755838546
SA,18252,1112,General Managers,-2.4452665939912936,0.4179892289293872,0.19982675606353778
SA,12574,1113,Legislators,3.2160178398309327,0.4968478593169751,0.13595149169779058
SA,6382,1211,Aquaculture Farmers,-2.0662225469423574,0.4232691075075188,0.06629392971246006
SA,7030,1212,Crop Farmers,0.5647637500207517,0.45991732371575206,0.07358367457139
SA,9361,1213,Livestock Farmers,-2.65827315304435,0.41502216276147946,0.09980650677226297
SA,8112,1214,Mixed Crop and Livestock Farmers,-3.357210034219155,0.4052863500106608,0.08575574854880079
SA,17986,1311,"Advertising, Public Relations and Sales Managers",9.79191425495069,0.5884465399571709,0.1968343607973721
SA,23036,1321,Corporate Services Managers,5.689102151079967,0.5312965862618707,0.253644872429465
SA,17377,1322,Finance Managers,8.303484006653058,0.5677135115816716,0.1899833505827296
SA,22432.5,1323,Human Resource Managers,12.792597329452255,0.6302444323345106,0.24685573504927327
SA,23904,1324,Policy and Planning Managers,2.4579508534643373,0.48628839617999314,0.2634095306664267
SA,20954.5,1325,Research and Development Managers,18.206871736226347,0.7056623466350134,0.2302288169914053
SA,21580,1331,Construction Managers,13.261394497710663,0.6367745233501775,0.23726544570940017
SA,33773,1332,Engineering Managers,15.156892761529791,0.6631777890285119,0.37443189488367906
SA,11284,1333,"Importers, Exporters and Wholesalers",5.590187189691363,0.5299187543456108,0.1214394996175134
SA,14117.5,1334,Manufacturers,7.365502659134133,0.5546479386963844,0.1533152589659362
SA,24488.5,1335,Production Managers,5.590187189691355,0.5299187543456106,0.26998492552760656
SA,20144,1336,"Supply, Distribution and Procurement Managers",8.866301525622713,0.5755532552340007,0.22111101111461098
SA,13338.5,1341,Child Care Centre Managers,20.85231502725152,0.7425119409517982,0.14455181568645098
SA,10540,1342,Health and Welfare Services Managers,21.805335092768,0.7557869950454466,0.11306979255726049
SA,33052,1343,School Principals,7.369830902054293,0.5547082287794314,0.3663209287674931
SA,11572.5,1344,Other Education Managers,16.42965969593977,0.6809067440781023,0.12468501102461414
SA,24755.5,1351,ICT Managers,13.936566222744599,0.6461793003287923,0.272988570400036
SA,21419.5,1391,Commissioned Officers (Management),6.732277694428772,0.5458274574032055,0.23545988390406336
SA,23857.5,1392,Senior Non-commissioned Defence Force Members,0,0.45205047011745547,0.2628864239751609
SA,15481,1399,Other Specialist Managers,9.910755486921778,0.5901019340459795,0.16865409710660126
SA,6291.5,1411,Cafe and Restaurant Managers,13.924622101467618,0.6460129251791074,0.06527584034558791
SA,7072,1412,Caravan Park and Camping Ground Managers,-0.22158553568144532,0.44896390344485654,0.0740561580344688
SA,11902.5,1413,Hotel and Motel Managers,1.7347037590860377,0.47621395530686983,0.1283973810916618
SA,12272,1414,Licensed Club Managers,0,0.45205047011745547,0.1325541106061288
SA,10282,1419,Other Accommodation and Hospitality Managers,2.5257662968830323,0.4872330286303918,0.11016739414120506
SA,8983,1421,Retail Managers,1.8427266056058953,0.47771865513721795,0.09555415560455384
SA,8833,1491,"Amusement, Fitness and Sports Centre Managers",16.22797293858696,0.6780973566258244,0.09386671466498672
SA,10004,1492,Call or Contact Centre and Customer Service Managers,-1.3514986678962555,0.43322482460064965,0.107040003599874
SA,8814,1493,Conference and Event Organisers,12.581703747763942,0.6273067987985383,0.09365297214597489
SA,16023.5,1494,Transport Services Managers,4.572577555078802,0.5157440024862379,0.17475700850470233
SA,21891,1499,"Other Hospitality, Retail and Service Managers",7.3425576405068265,0.5543283269961918,0.24076407325743598
SA,1300,2111,"Actors, Dancers and Other Entertainers",8.159079077977132,0.5657020290233024,0.009123430679926202
SA,8628,2112,Music Professionals,-0.8677643110179024,0.43996298257535726,0.09156054538091167
SA,4175,2113,Photographers,5.190139253456031,0.5243463029505834,0.04146604868829591
SA,5468,2114,Visual Arts and Crafts Professionals,4.092712635997531,0.5090597436873471,0.05601178958736444
SA,14397,2121,"Artistic Directors, and Media Producers and Presenters",-12.196509707294664,0.2821596860967669,0.15645952391666293
SA,8162,2122,"Authors, and Book and Script Editors",14.767564649607955,0.657754658988601,0.08631822886198982
SA,10939.5,2123,"Film, Television, Radio and Stage Directors",11.847967822954898,0.6170862541901577,0.11756401025964092
SA,15604.5,2124,Journalists and Other Writers,1.5769465894702623,0.474016483253461,0.1700434234801782
SA,16364,2211,Accountants,4.018089884403248,0.5080202891156386,0.1785874994375197
SA,15474,2212,"Auditors, Company Secretaries and Corporate Treasurers",10.073698243893048,0.5923716385267446,0.1685753498627548
SA,14204,2221,Financial Brokers,19.69643209589858,0.7264111168507661,0.15428834990775322
SA,29679,2222,Financial Dealers,1.640098800270539,0.47489615939548724,0.3283760068397606
SA,20636,2223,Financial Investment Advisers and Managers,-1.0344497612096504,0.43764114440218055,0.2266458173963911
SA,11112,2231,Human Resource Professionals,10.826243446735237,0.6028541862055613,0.1195045673401431
SA,13985.5,2232,ICT Trainers,-9.43184301160828,0.3206699979612445,0.15183031093911714
SA,13932,2233,Training and Development Professionals,-5.859103415553496,0.3704363283002002,0.15122845700400486
SA,21332,2241,"Actuaries, Mathematicians and Statisticians",7.821899538476034,0.5610053003938555,0.23447554335598253
SA,11337,2242,"Archivists, Curators and Records Managers",-4.04368752249386,0.3957240898645643,0.12203572874949377
SA,25902,2243,Economists,5.7924027091688846,0.532735507168317,0.2858862439814607
