ocode,occupation,projemp
2510,Health Diagnostic and Promotion Professionals nfd,0
2521,Chiropractors and Osteopaths,18.57561943076688
2522,Complementary Health Therapists,10.23329609993888
2523,Dental Practitioners,16.72949346816162
2524,Occupational Therapists,14.612307078357714
2525,Physiotherapists,24.923337132519638
2526,Podiatrists,17.217593624899276
2527,Audiologists and Speech Pathologists \ Therapists,38.308413610591394
2520,Health Therapy Professionals nfd,0
2531,General Practitioners and Resident Medical Officers,12.245152604494763
2532,Anaesthetists,16.586883471390305
2533,Specialist Physicians,7.580092226080791
2534,Psychiatrists,-0.10066996823392119
2535,Surgeons,1.9521497258621179
2539,Other Medical Practitioners,13.108443417799828
2530,Medical Practitioners nfd,9.023102403542516
2541,Midwives,16.62783738488575
2542,Nurse Educators and Researchers,16.88795259872098
2543,Nurse Managers,19.0472003369873
2544,Registered Nurses,18.370067352544616
2540,Midwifery and Nursing Professionals nfd,0
2500,Health Professionals nfd,0
2611,ICT Business and Systems Analysts,9.526639117167598
2612,Multimedia Specialists and Web Developers,20.499161962031728
2613,Software and Applications Programmers,20.98286225996597
2610,"Business and Systems Analysts, and Programmers nfd",19.51513956898889
2621,"Database and Systems Administrators, and ICT Security Specialists",7.641459525808249
2631,Computer Network Professionals,11.593931800942846
2632,ICT Support and Test Engineers,18.364094782300807
2633,Telecommunications Engineering Professionals,19.52673705365304
2630,ICT Network and Support Professionals nfd,14.790740034097603
2600,ICT Professionals nfd,9.9938319810286
2711,Barristers,15.026702116358464
2712,Judicial and Other Legal Professionals,8.724240168459778
2713,Solicitors,-1.5813307945746056
2710,Legal Professionals nfd,-3.9749561308219037
2721,Counsellors,17.8371776056355
2722,Ministers of Religion,3.098169017277995
2723,Psychologists,30.21415999616976
2724,Social Professionals,3.098169017277998
2725,Social Workers,7.971676062349574
2726,"Welfare, Recreation and Community Arts Workers",30.38981592014651
2720,Social and Welfare Professionals nfd,12.195384651567512
2700,"Legal, Social and Welfare Professionals nfd",0
2000,Professionals nfd,4.806467329047004
3111,Agricultural Technicians,0.1356279764343364
3112,Medical Technicians,0.621401338406484
3113,Primary Products Inspectors,1.5106980904361305
3114,Science Technicians,10.879218068000494
3110,"Agricultural, Medical and Science Technicians nfd",6.363925255444442
3121,"Architectural, Building and Surveying Technicians",1.6236072339556569
3122,Civil Engineering Draftspersons and Technicians,2.981923411976148
3123,Electrical Engineering Draftspersons and Technicians,9.035946387683715
3124,Electronic Engineering Draftspersons and Technicians,-8.095320233565907
3125,Mechanical Engineering Draftspersons and Technicians,-7.213262329357338
3126,Safety Inspectors,6.174350146192707
3129,Other Building and Engineering Technicians,2.8803144166405112
3120,Building and Engineering Technicians nfd,-0.9252989619571889
3131,ICT Support Technicians,18.485825612808654
3132,Telecommunications Technical Specialists,4.523979669308313
3130,ICT and Telecommunications Technicians nfd,0
3100,"Engineering, ICT and Science Technicians nfd",12.853034412757205
3211,Automotive Electricians,-0.8715350460564323
3212,Motor Mechanics,-1.8940263552695042
3210,Automotive Electricians and Mechanics nfd,2.7936861179328516
3221,"Metal Casting, Forging and Finishing Trades Workers",0
3222,Sheetmetal Trades Workers,4.724942364905447
3223,Structural Steel and Welding Trades Workers,4.804514891970052
3220,Fabrication Engineering Trades Workers nfd,4.492544683880127
3231,Aircraft Maintenance Engineers,0.953735094888547
3232,Metal Fitters and Machinists,2.0650971542522836
3233,Precision Metal Trades Workers,-6.169494579876846
3234,Toolmakers and Engineering Patternmakers,-2.756958127054687
3230,Mechanical Engineering Trades Workers nfd,1.5110966133079853
3241,Panelbeaters,0
3242,Vehicle Body Builders and Trimmers,0.5893182238362527
3243,Vehicle Painters,3.1222115543544593
3240,"Panelbeaters, and Vehicle Body Builders, Trimmers and Painters nfd",1.1792366278121988
3200,Automotive and Engineering Trades Workers nfd,1.2565014056126842
3311,Bricklayers and Stonemasons,-2.442330553357905
3312,Carpenters and Joiners,5.317154166775465
3310,"Bricklayers, and Carpenters and Joiners nfd",-3.305303098948318
3321,Floor Finishers,5.050047687816252
3322,Painting Trades Workers,5.403135694838962
3320,Floor Finishers and Painting Trades Workers nfd,0
3331,Glaziers,13.030996742511508
3332,Plasterers,12.41770457892623
3333,Roof Tilers,0.522763052984531
3334,Wall and Floor Tilers,0.005837692273431532
